hrrnum,mean_price,sd,p25,p50,p75,volume,share_HOPD,share_aboveRP,cv,p7525_ratio,cv
151,1557.694,933.8361,1034.35,1050,1762.25,4522,0.4051305,0.3856701,0.5994992,1.703726978,0.599499067
152,1357.123,895.1047,930.75,1034.35,1551.53,1196,0.4314381,0.2926421,0.6595606,1.666967499,0.659560482
154,1869.076,1277.294,935,1489.385,2520,3522,0.4906303,0.4980125,0.6833829,2.695187166,0.683382591
155,2258.945,1392.117,1083,2101.99,2998.5,7952,0.7779175,0.6769366,0.6162687,2.768698061,0.616268656
156,2228.404,1324.211,1345.96,1888.8,2840.91,16819,0.9374517,0.674178,0.594242,2.110694226,0.594241888
158,2196.157,1252.082,1197,2028,3038.18,11721,0.7547138,0.653016,0.570124,2.538162072,0.570124085
161,2158.139,1397.401,1000,1990.655,2895.15,18308,0.8446581,0.6331112,0.647503,2.89515,0.647502779
163,1899.824,1215.07,963,1708.36,2552.69,10017,0.5758211,0.5500649,0.6395699,2.650768432,0.639569771
164,2262.323,1511.235,897,1983.01,3256.5,7607,0.6429604,0.6064152,0.6680014,3.630434783,0.66800143
166,1902.581,1150.012,966,1726.5,2472.59,17169,0.7213582,0.5811637,0.6044484,2.559616977,0.604448378
170,1995.807,1215.072,1075,1599.53,2570.52,11665,0.6209173,0.5349336,0.6088123,2.391181395,0.608812375
171,1959.808,1403.255,830.46,1453,2717.81,6951,0.5745936,0.4897137,0.7160167,3.272656118,0.716016569
172,2179.983,1487.806,1059,1714.095,2846.97,3598,0.639244,0.557532,0.682485,2.688356941,0.682485139
173,2779.468,1608.903,1551.08,2611.71,3635,1666,0.8595438,0.7653061,0.5788529,2.34352838,0.57885286
175,2227.031,1057.789,1591.38,2198.95,2586.63,1493,0.2498326,0.7642331,0.4749771,1.625400596,0.474977223
179,2444.813,918.8557,2015.2,2420.43,2829.77,4025,0.92,0.8884472,0.3758388,1.404212981,0.375838847
180,2553.486,1284.043,1677.42,2247.98,3134.78,4769,0.9660306,0.835605,0.5028588,1.868810435,0.502858837
181,1992.918,1419.657,774,1797.51,2599.8,3837,0.7776909,0.6244462,0.712351,3.358914729,0.712350935
183,2552.042,1482.875,1426.5,2544.63,3424.06,22122,0.5838984,0.7347889,0.5810543,2.400322468,0.581054309
184,2740.186,1189.774,2006.69,2583,2957,2123,0.9448893,0.8845972,0.4341947,1.473570905,0.434194613
185,1726.572,1463.06,559,1043,2330.83,661,0.3736762,0.4720121,0.8473784,4.169642218,0.847378505
186,2310.73,1104.943,1667.47,2211.75,2803.61,2623,0.9245139,0.8185284,0.4781792,1.681355587,0.47817919
187,1642.845,1173.8,753,1338,2180.08,3470,0.407781,0.4066283,0.7144923,2.895192563,0.714492238
188,3411.492,1237.07,2943.98,3257.145,3778.2,818,0.9523227,0.9352078,0.3626186,1.283364697,0.362618467
190,2460.786,1064.22,1842.78,2244.89,2849.84,1581,0.8121442,0.8380772,0.4324716,1.546489543,0.432471576
191,1070.226,1087.189,541,658.5,955.5,7096,0.1743236,0.1519166,1.01585,1.766173752,1.015849923
192,1837.06,1294.861,620,1424,2811.08,10996,0.4660786,0.4106039,0.704855,4.534,0.70485504
193,1239.535,826.1396,878,904,1278.02,1795,0.1532033,0.1376045,0.6664914,1.455603645,0.666491547
194,2379.895,1250.881,1588.08,2218.09,2836.74,1194,0.9061977,0.7738693,0.5256034,1.786270213,0.52560344
195,2073.385,1123.92,1360.64,1844.38,2570.88,1286,0.6174183,0.6601866,0.5420699,1.889463782,0.542070093
196,2288.99,1057.256,1475.54,2022.87,3005.405,1684,0.9584323,0.7363421,0.4618875,2.03681703,0.461887557
197,1614.965,939.0508,980.08,1295,1956.3,3719,0.9938155,0.3436408,0.5814683,1.996061546,0.581468205
200,1137.402,972.9337,478,590,1501.23,1733,0.3612233,0.2510098,0.8553996,3.140648536,0.855400026
201,1315.875,1048.225,592,885,1674,6556,0.4350213,0.3007932,0.7965994,2.827702703,0.796599221
203,879.1064,802.2793,472.76,515,772.5,13489,0.1862258,0.1642079,0.9126077,1.634021491,0.912607734
204,1481.437,1176.03,623,1133,1835.2,29628,0.4227757,0.3229715,0.7938444,2.945746388,0.793844085
205,1263.038,726.3126,829,1151,1363,45841,0.7416068,0.1753016,0.5750519,1.644149578,0.575052057
207,1197.726,935.1504,550,787.5,1548.34,2563,0.2937963,0.2664846,0.7807717,2.815163636,0.780771562
208,1526.163,932.9205,918.1,1219.28,1950,6195,0.7378531,0.3946731,0.6112849,2.123951639,0.611284968
209,2110.126,1527.57,936.78,1659,3146.85,2022,0.6275964,0.5454995,0.7239233,3.359219881,0.723923595
210,1165.311,781.098,754,803,1204.5,15744,0.3364456,0.1775279,0.6702913,1.597480106,0.67029145
212,1049.796,871.7731,450,675,1416.52,3118,0.5054522,0.22322,0.8304211,3.147822222,0.830421434
213,1054.751,1001.021,545,654,1197.99,6513,0.2960233,0.1903885,0.949059,2.198146789,0.949059067
214,1413.538,1468.922,539,704.98,1638.92,3007,0.3917526,0.2567343,1.039181,3.040667904,1.039181119
216,1304.674,1033.939,513,833.855,1744.98,8784,0.5405282,0.3447177,0.7924888,3.401520468,0.792488392
217,1000.476,735.1966,695,728,1017.31,2505,0.2243513,0.1237525,0.7348465,1.463755396,0.734846813
218,1135.835,917.4749,478,714,1573.55,8985,0.4312744,0.2749026,0.8077539,3.291945607,0.807753679
219,1189.292,871.0305,570,855,1442.44,6642,0.5069256,0.2380307,0.7323939,2.530596491,0.732394147
220,1082.532,827.924,597,769.5,1358.57,2931,0.4370522,0.2088025,0.764803,2.275661642,0.764803258
221,2612.273,1242.387,1891.21,2498.34,2973.16,4235,0.9466352,0.8536009,0.475596,1.572094056,0.475596157
222,1707.195,1086.227,734.89,1541,2186.2,15138,0.7434932,0.5138724,0.6362641,2.974866987,0.636264164
223,793.0478,764.0924,423,487,725.03,37070,0.2384408,0.1261397,0.9634885,1.714018913,0.963488456
225,1199.984,990.6558,510,800,1625.4,4274,0.4988301,0.2781937,0.8255576,3.187058824,0.825557507
226,900.5081,1080,440,550,771,16455,0.150471,0.1270738,1.199322,1.752272727,1.199322916
227,1493.074,962.5356,711,1376.34,1912.5,33369,0.7324163,0.433606,0.6446671,2.689873418,0.644667043
230,1476.336,1071.393,695.21,1363.87,1700,2987,0.5470372,0.4455976,0.7257105,2.445304297,0.725710814
231,1460.891,973.4346,638.29,1362,1930,4512,0.6877216,0.4386082,0.6663294,3.023703959,0.666329384
232,1947.13,1231.128,853.5,1756.53,2624.1,6013,0.7077998,0.6246466,0.6322786,3.074516696,0.632278276
233,2559.554,1593.655,1531.35,2084,3493.555,1968,0.8424796,0.7748984,0.6226299,2.28135632,0.622629958
234,1557.215,1108.735,569,1306.635,2244.3,5048,0.5572504,0.4441363,0.7119988,3.944288225,0.711998664
235,1482.247,1091.027,587,1102.5,2055,1283,0.4091972,0.3717849,0.7360634,3.500851789,0.736062883
236,1489.29,822.984,897.4,1369.31,1942.69,4551,0.7985058,0.4326522,0.5526015,2.164798306,0.552601575
238,1560.998,989.9015,866.4,1506.3,1959.17,4625,0.476973,0.5022703,0.6341465,2.261276547,0.634146552
239,1834.819,954.3101,1237.29,1677.98,2256.76,1390,0.8366907,0.6388489,0.5201112,1.823953964,0.520111303
240,2563.067,1133.097,1821.15,2305.49,3128.51,761,0.8685939,0.9145861,0.4420864,1.717876067,0.442086375
242,1973.385,953.8112,1369.2,1755.75,2540.82,1017,0.9685349,0.6420845,0.4833376,1.855696757,0.483337615
243,1633.052,815.6993,1144.8,1445.4,1908.54,322,0.9130435,0.4658385,0.4994938,1.667138365,0.49949377
244,1551.494,1138.68,569,1138,2233.47,2851,0.4956156,0.4026657,0.7339251,3.925254833,0.733924849
245,1372.083,1044.786,569,876,1952.44,4563,0.46373,0.3388122,0.7614598,3.431353251,0.761459766
246,1233.994,814.9415,700,880,1301.4,3254,0.5556238,0.2169637,0.6604098,1.859142857,0.660409613
248,1356.019,1094.818,587,881.74,1780.005,844,0.4170616,0.3447867,0.8073761,3.032376491,0.807376593
249,1224.631,656.532,786.36,1090.88,1372.56,542,0.304428,0.2084871,0.5361061,1.745460095,0.536105978
250,2545.135,1420.092,1492.29,2258.37,3321,1133,0.8225949,0.7484554,0.5579634,2.225438755,0.55796333
251,1531.727,982.0772,738.75,1306.17,1878.88,22428,0.5343321,0.4198769,0.6411569,2.543323181,0.641156812
253,2452.453,1171.302,1669.58,2207.46,3092.04,1349,0.902891,0.8265382,0.4776043,1.851986727,0.47760426
254,1745.703,820.3268,1263.38,1556.225,1984.865,1196,0.5886288,0.5576923,0.4699119,1.571075211,0.469912007
256,1217.092,835.7426,690,740,1477.5,6995,0.3183703,0.238599,0.6866719,2.141304348,0.686671673
257,1485.745,1489.861,630,930,1516.22,951,0.3732913,0.2502629,1.00277,2.406698413,1.002770327
258,762.2543,445.1526,597,630,847.5,3019,0.1059954,0.0380921,0.5839949,1.41959799,0.583994869
259,1026.065,985.7393,516,645,1073.59,7123,0.2938369,0.1728204,0.9606987,2.080600775,0.960698689
260,1045.026,672.0667,545,720,1501,1090,0.4788991,0.2779816,0.6431097,2.75412844,0.643110028
261,1782.268,962.4802,1003.5,1909.235,2372.77,754,0.6777188,0.5769231,0.5400311,2.36449427,0.540031129
262,1664.882,1420.529,700,1235.2,2127.26,2454,0.4331703,0.3716381,0.8532308,3.038942857,0.85323104
263,2019.793,1817.91,625,1054,3050.36,1897,0.5629942,0.4354244,0.9000479,4.880576,0.900047678
264,1378.055,1072.985,683,1018.09,1686.36,6614,0.5792259,0.2949803,0.7786227,2.469048316,0.778622769
267,1922.01,1116.35,1350,1679.865,2344.8,2092,0.7222753,0.6075526,0.5808244,1.736888889,0.580824241
268,1443.565,818.5887,712,1432,1943.01,40886,0.5264394,0.4713105,0.5670605,2.728946629,0.567060506
